feedback_id,timestamp,source,country,customer_id,feedback_text,sentiment_label,clean_text,preprocessed
bdcdf85c-5f12-487d-ba99-524b851d4771,2025-09-22T13:51:43.215045,email,UK,CUST5012,Great # product! # Really # loved # the # user # experience.,positive,Great product! Really loved the user experience.,great product really loved user experience
ca8842eb-bda6-4e61-b47a-2740380920ee,2024-11-14T13:13:11.215045,chat,USA,CUST9279,Average experience. Could be improved in some areas.,neutral,Average experience. Could be improved in some areas.,average experience could improved areas
84ac7533-4a27-4e3a-adfe-a9f26be8e420,2025-03-21T10:02:42.215045,chat,Germany,CUST6574,Amazing # support # — # quick # and # helpful # replies.,positive,Amazing support quick and helpful replies.,amazing support quick helpful replies
3f6aac16-3e48-4ad8-937f-eea1bd4a1448,2025-04-25T07:47:22.215045,twitter,India,CUST8527,Met basic needs but lacks advanced features. :) pls,neutral,Met basic needs but lacks advanced features. pls,met basic needs lacks advanced features pls
a4bea0cb-bead-4888-89be-060be30ddd0a,2024-11-22T18:06:22.215045,twitter,India,CUST4814,Performance is slow and laggy on mobile. worst !!! tnx,negative,Performance is slow and laggy on mobile. worst !!! tnx,performance slow laggy mobile worst tnx
3a638c35-b688-4099-be19-b0c9a59efb14,2024-12-06T07:59:11.215045,app_store,USA,CUST9751,Average experience. Could be improved in some areas.,neutral,Average experience. Could be improved in some areas.,average experience could improved areas
115e0384-24ad-4de9-9d99-43d7e2244def,2025-02-19T21:36:55.215045,email,USA,CUST1525,Performance is slow and laggy on mobile. worst,negative,Performance is slow and laggy on mobile. worst,performance slow laggy mobile worst
a5dce3c5-cf57-4abc-8c0b-55371aca509f,2025-07-13T00:12:47.215045,app_store,Germany,CUST3340,Amazing support — quick and helpful replies.,positive,Amazing support quick and helpful replies.,amazing support quick helpful replies
7961d0d8-4b4b-4ac4-a4c9-c5fc9947bc3e,2025-08-25T00:21:01.215045,twitter,USA,CUST3266,"It's # okay, # does # what # it # says. # Nothing # special.",neutral,"It s okay, does what it says. Nothing special.",okay says nothing special
b5c3c102-a298-4b33-860c-b12ce905135b,2025-10-14T01:10:44.215045,google_play,India,CUST7304,"Fantastic value for money, exceeded expectations.",positive,"Fantastic value for money, exceeded expectations.",fantastic value money exceeded expectations
